Domain,Category,Attribute,Description
Profile,Demographics,PRFL_DEMOGR_COUNTRY_CD,Captures the home country code for members and non-members
Profile,Demographics,PRFL_DEMOGR_COUNTRY_NM,The home country name associated with the member or non-member
Loyalty,Enrollment,PRFL_ENROLL_SRC_CATEGORY_DESC_TXT,Captures the Enrollment Source category description of the customer
Loyalty,Enrollment,PRFL_ENROLL_SRC_SUBCATEGORY_DESC_TXT,Captures the Enrollment Source sub category description of the customer
Loyalty,Enrollment,PRFL_ENROLLMENT_SOURCE_CD,Captures the Enrollment Source code of the customer
Loyalty,Enrollment,PRFL_ENROLL_SRC_PROP_BRND_TIER,Captures the Brand Tier of the property where the customer has enrolled
Loyalty,Enrollment,PRFL_ENROLL_SRC_PROPERTY_CD,Captures the Property code where the customer has enrolled
Profile,Identifier,ALT_CUST_ID,"Customer-level ID primarily used for marketing. Assigned to members and non-members. Join to PFL.PROXY.PFL_DIM_PROFILE (or PFL.PROXY.PFL_LNK_PROFILE_PERSON) to connect to data sets that use CUSTOMER_KEY, MRW_CUSTOMER_KEY OR PROFILE_KEY."
Profile,CLTV,PRFL_LOYALTY_LIFECYCLE_ENROLLMENT_SEGMENT,Captures the Bonvoy Member lifecycle segment based on the time period since enrolled
Profile,Demographics,PRFL_COMM_VALID_EMAIL_IND,Captures the customer’s valid email indicator
Profile,Identifier,PRFL_ACTIVE_ACCOUNT_IND,Captures the customer's active account indicator
Profile,Identifier,PRFL_MEMBER_IND,Captures if the customer is a Marriott Bonvoy member
Profile,Identifier,PRFL_2_YEAR_ACTIVE_IND,Captures if the customer has any activity in the last 2 years
Profile,Preference,PRFL_PREFERENCE_PASSIONS_BEACH_AND_WATER_ACTIVITIES_IND,Captures the customer who has activity belonging to Beach & Water Activities
Profile,Preference,PRFL_PREFERENCE_PASSIONS_COOKING_AND_BAKING_IND,Indicates whether a customer has an interest in cooking and baking.
Profile,Preference,PRFL_PREFERENCE_PASSIONS_KIDS_ACTIVITIES_IND,Indicates whether a customer has shown interest in activities and hobbies with kids.
Profile,Preference,PRFL_PREFERENCE_PASSIONS_LIVE_MUSIC_AND_CONCERTS_IND,Indicates whether a customer has an interest in live music and concerts.
Profile,Preference,PRFL_PREFERENCE_PASSIONS_LIVE_SPORTS_IND,Indicates whether a customer has an preference for live sports based on their interests and hobbies.
Profile,Preference,PRFL_PREFERENCE_PASSIONS_SHOPPING_IND,Captures customers with a preference for activities related to Shopping
Profile,Preference,PRFL_PREFERENCE_PASSIONS_LOCAL_CULTURE_EXCURSIONS_IND,Captures customers with a preference for activities related to local cultural excursions
Profile,Preference,PRFL_PREFERENCE_PASSIONS_MOUNTAIN_AND_WINTER_SPORTS_IND,Indicates whether a customer has an interest or passion for mountain and winter sports.
Profile,Preference,PRFL_PREFERENCE_PASSIONS_NATURE_AND_WILDLIFE_IND,Captures customers with a preference for activities related to Nature & Wildlife
Profile,Preference,PRFL_PREFERENCE_PASSIONS_THEATRE_AND_FINE_ARTS_IND,Indicates whether a customer has a passion preference for theatre and fine arts activities.
Profile,Preference,PRFL_PREFERENCE_PASSIONS_WINE_BEER_ENTHU_IND,Indicates whether a customer has a specific interest or enthusiasm for wine and beer.
Profile,Preference,PRFL_PREFERENCE_PASSIONS_SWIMMING_IND,Indicates if a customer has a preference for swimming as a fitness activity.
Profile,Preference,PRFL_PREFERENCE_PASSIONS_CARDIO_IND,Indicates whether a customer has a preference for cardio as a fitness activity.
Profile,Preference,PRFL_PREFERENCE_PASSIONS_CYCLING_IND,Indicates whether a customer has a preference for cycling as a fitness activity.
Profile,Preference,PRFL_PREFERENCE_PASSIONS_HIKING_AND_WALKING_IND,Indicates if a customer has a preference for hiking and walking activities based on their fitness interests.
Profile,Preference,PRFL_PREFERENCE_PASSIONS_RUNNING_IND,Indicates whether a customer has a passion preference for running.
Profile,Preference,PRFL_PREFERENCE_PASSIONS_STRENGTH_TRAINING_IND,Indicates whether the customer has a FITNESS preference for strength training.
Profile,Preference,PRFL_PREFERENCE_PASSIONS_TENNIS_IND,Indicates whether a customer has a passion preference for tennis.
Profile,Preference,PRFL_PREFERENCE_PASSIONS_YOGA_PILATES_IND,Indicates if customer has an passion preference for yoga and pilates activities.
Profile,Preference,PRFL_PREFERENCE_PASSIONS_SPA,Captures the customer who has a preference belonging to Spa
Profile,Preference,PRFL_PREFERENCE_PASSIONS_GOLF,Captures the customer who has a passion preference belonging to Golf
Profile,Identifier,PRFL_EMPLOYEE_ACCOUNT_FLG,Captures if the customer's Marriott Bonvoy account and employee account are currently linked
Profile,Identifier,PRFL_WECHAT_RELATIONSHIP_FLG,Captures if the customer's Marriott Bonvoy account and WeChat account are currently linked
Profile,Demographics,PRFL_3P_HOUSEHOLD_WEALTH_CD,Captures the customer's household wealth
